family,case,tail_ratio,passes,seed,pass_estimate,pass_absolute_error,mean_estimate,mean_absolute_error,empirical_sd,empirical_stderr,pass_runtime_s,mean_runtime_s,total_runtime_s,max_peak_rss_mb,pass_max_importance_multiplier,max_importance_multiplier,pass_max_post_truncation_abs_coefficient,max_post_truncation_abs_coefficient,reference
clifford_t,ct_n20_d12,1.00,67,202707160367,0.3230155191736106,0.0065052435158863831,0.32871654985846693,0.00080421283103004892,0.0045370334565099308,0.00055428685640778515,0.805350309,0.806097497,54.008532274,90.051,244.92617227047651,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,68,202707160368,0.3247011037534519,0.0048196589360450792,0.32865749918045195,0.00086326350904503135,0.0045292994470820273,0.00054925823618737842,0.893563299,0.807383758,54.902095573,90.051,326.33772464311028,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,69,202707160369,0.33184920333548801,0.0023284406459910256,0.32870375576240901,0.00081700692708797096,0.0045122617605972233,0.00054321248139579156,0.971342099,0.809759966,55.873437672,90.051,268.48088087615486,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,70,202707160370,0.32927167034113203,0.00024909234836495431,0.32871186882781933,0.00080889386167765087,0.004479959143153924,0.00053545753365467658,0.950041440,0.811763987,56.823479112,90.051,328.10211135992671,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,71,202707160371,0.32206404923141635,0.0074567134580806327,0.3286182375658982,0.00090252512359878523,0.0045172738340526113,0.00053610177312926632,1.005186268,0.814488245,57.828665380,90.051,480.53180445617448,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,72,202707160372,0.32873361328415251,0.0007871494053444672,0.32861984000642946,0.00090092268306751766,0.0044853698468901417,0.00052860590581094765,0.980034673,0.816787501,58.808700053,90.051,512.22630332905351,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,73,202707160373,0.33194193160351648,0.0024211689140195003,0.32866534811049913,0.00085541457899784845,0.0044710513919952143,0.00052329698409197634,0.963070972,0.818791384,59.771771025,90.051,1873.8127592683804,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,74,202707160374,0.33009761080888178,0.00057684811938479852,0.32868470301182867,0.00083605967766831046,0.0044434425977509483,0.00051653970988225009,1.016152753,0.821458429,60.787923778,90.051,460.18459728815088,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,75,202707160375,0.32806513537603127,0.0014556273134657127,0.32867644211001801,0.00084432057947897432,0.0044138970349371339,0.00050967292825924895,0.870444169,0.822111573,61.658367947,90.051,346.1348879229102,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,76,202707160376,0.33021205353609218,0.00069129084659519391,0.32869664752351901,0.00082411516597796775,0.0043879093205155366,0.00050332771846177491,0.815822864,0.822028826,62.474190811,90.051,1877.2640946255051,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,77,202707160377,0.32872073406785229,0.00080002862164468835,0.32869696033578311,0.00082380235371387611,0.0043589467704322395,0.00049674808671533509,0.792148839,0.821640775,63.266339650,90.051,150.00897631507576,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,78,202707160378,0.32860265010931639,0.00091811258018059672,0.32869575123031558,0.00082501145918140173,0.0043305625866412283,0.00049033965617796787,0.819362917,0.821611571,64.085702567,90.051,457.96947334558115,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,79,202707160379,0.33008286283900679,0.00056210014950980325,0.32871330960510914,0.00080745308438784358,0.0043055423309847898,0.00048441135835158172,0.962976671,0.823401003,65.048679238,90.051,230.49687024768858,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,80,202707160380,0.3260166187623334,0.0035041439271635832,0.32867960096957438,0.00084116171992260069,0.0042888159401600337,0.00047950419925912527,0.994631010,0.825541378,66.043310248,90.051,788.04905258174574,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,81,202707160381,0.33794798976359269,0.0084272270740957111,0.32879402552258702,0.00072673716690996315,0.0043845808393010522,0.00048717564881122801,0.831078044,0.825609732,66.874388292,90.051,197.00995190444058,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,82,202707160382,0.32995924751653227,0.00043848482703529035,0.32880823554690342,0.00071252714259356642,0.0043593310101940246,0.0004814075761211285,0.827624639,0.825634304,67.702012931,90.051,215.92772175530223,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,83,202707160383,0.32744672601270491,0.0020740366767920682,0.32879183181757571,0.00072893087192127393,0.0043352447953914318,0.00047585493684029702,0.801447634,0.825342898,68.503460565,90.051,21603.150012187914,21603.150012187914,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,84,202707160384,0.3294139267381046,0.00010683595139238111,0.32879923770948677,0.00072152498001021304,0.0043095842818992496,0.00047021419489512428,0.809159865,0.825150243,69.312620430,90.051,503.51403911408221,21603.150012187914,1,1,0.32952076268949698
